Rank,Alliance,Server,Members,Total Points,Avg Points/Player,Top Commander,Top Commander Points
1,[P1MP] JU1CE,S117,50,96460732,1929214,TheRequiem,16655363
2,[DOOM] Armageddon,S117,58,90720694,1564149,AzethothMONKEY,3565442
3,[STLG] SteelLegion,S117,42,49658733,1182350,Nika~,2255575
4,[CHIL] ChillEmpire,S117,51,44158958,865861,AlInA,2111561
5,[TSR2] TheShardofReality2,S117,39,42487061,1089411,kvadrateg,3388632
6,[GDI] GolgDiggers,S117,48,41053931,855290,불휘이,2870825
7,[Bigg] Бароны,S117,38,40902425,1076379,Fayans,9298947
8,[OFF] OnlyForFans,S117,40,38114503,952862,Кэтринан,2298446
9,[HDG] HérosdeGuerre,S117,37,32304137,873084,Azethoth,11856271
10,[Sold] Soldiers,S117,27,31331117,1160411,Diana215,6743009
11,[SKG] Horizon,S117,38,30190773,794494,xCollapse,2493995
12,[WIn] OnlyWin,S117,42,30114378,717009,promos,2555521
13,[RTR] RETRO,S117,26,28847214,1109508,Шакалад,2151836
14,[SORI] ВРЕДНЫЕ,S117,22,27069827,1230446,Вредный,2067210
15,[CLAV] ВОЙНЫ,S117,22,23624619,1073846,Аленамама,2884012
16,[P2MP] NowaPolandia,S117,35,15490566,442587,Rzurzu,2121706
17,[AZT] AntiZombieTeam,S117,39,13776506,353243,GunnerGat,1914910
18,[Hhhh] Xpovos,S117,12,13627752,1135646,Никольск,1819527
19,[KRL] кристал,S117,10,12104857,1210485,МальчикАмбальчик,2871030
20,[ARF2] БесячаяГвардия,S117,20,8616706,430835,Adyyyyyy,1031593
21,[KRS] KRATOS,S117,21,8582174,408674,KOKRAN,1397860
22,[0G8b] AbyssTerritory,S117,8,7405446,925680,fRame,1926475
23,[BNN] Banana,S117,6,6942553,1157092,Boroda221,2635483
24,[ALIN] RUSalina,S117,13,6754967,519612,2Каратель,1411034
25,[OUTS] OUTSIDERS,S117,9,4886014,542890,Titania008,1166129
26,[SSSE] Pensioners,S117,14,4284068,306004,Buhgalter,1515138
27,[HLCZ] HellsCrazy,S117,3,3269658,1089886,Nastasia16011988,1672737
28,[G95] Grozny,S117,3,2438325,812775,HALKER,1423842
29,[OBS] ZeroBullsht,S117,18,2275977,126443,Staria,305590
30,[UAW] UpadteAnioły,S117,1,1517965,1517965,Sapogik,1517965
31,[1Lr] resistencia,S117,22,1089319,49514,UnManco,952600
32,[IVIN] Invincibililtaliani,S117,1,808780,808780,Commander2ifHkIV,808780
33,[SpSS] AusSpass,S117,10,754998,75499,1370zero,257989
34,[SHE] ShadowLover,S117,20,697429,34871,SKIBIDI,202390
35,[TIOX] ПоХуисты,S117,17,657584,38681,Colluk,455478
36,[Hard] Revolt,S117,3,625069,208356,1сталкер,499151
37,[DGe] DieGestrandeten,S117,8,532717,66589,Svensen003,425634
38,[Dick] КаолицияДалбаебизма,S117,2,526603,263301,Ayazecrin,492603
39,[UTS] upthescore,S117,9,477208,53023,Icandoit1000,380713
40,[GZS] GermanZombieSquad,S117,14,453340,32381,Commander2fhY2Q5,290494
41,[KGH] KNGTH,S117,7,447069,63867,poff,185792
42,[VBD] VBDRFABA,S117,16,391267,24454,Dropbear007,237272
43,[1919] Blackout,S117,1,390525,390525,VorDe87,390525
44,[415] Воркута,S117,1,387345,387345,Pyata4oK,387345
45,[139] супердержава,S117,1,372400,372400,Ewgeni,372400
46,[Bas] BASIS,S117,2,336547,168273,Emptying,286972
47,[715] team715,S117,7,327000,46714,Мика789,73500
48,[TLC] ThalassaCoven,S117,11,283267,25751,Commander2fIci4R,152340
49,[xDX] IronSovereigon,S117,1,279949,279949,DiiS,279949
50,[QMA] QUEMIRABOBO,S117,1,279340,279340,Earthmudo,279340
51,[FRO] FrosDomain,S117,6,269883,44980,Commander2fefrcp,267352
52,[LOD2] Legionofdoom,S117,14,260879,18634,Commander2dTOxWB,136697
53,[QhiX] TürklerGeliyor,S117,2,248764,124382,Commander2emnbZr,248719
54,[Gogo] 저랑고고하실분,S117,1,246536,246536,김아무개,246536
55,[AmG] Аксель,S117,2,243527,121763,karachan,228027
56,[Ktq] TheGoats,S117,7,239035,34147,Lessotz99,237383
57,[SMR] Самара163,S117,12,232730,19394,Екибас,135328
58,[KGLN] KillingLegion,S117,9,182896,20321,Dogan-32,173940
59,[LzB] LetzteBastion,S117,16,173205,10825,Bigblock888,82327
60,[uakl] uukkl,S117,15,151329,10088,Umar125962494069,147644
61,[RD2] RD2RUST,S117,1,141000,141000,SandraSh1,141000
62,[Kila] micrib,S117,1,126220,126220,lordrodd67,126220
63,[HPRN] ГИПЕРИОН,S117,1,114856,114856,fLinT,114856
64,[UOU] Пендосы,S117,2,109812,54906,Commander2e4FuSN,109785
65,[XAT] EUROMONEY,S117,7,109495,15642,taij,108786
66,[Rog] РогаиКопыта007,S117,1,107000,107000,Николайв,107000
67,[piiu] yhyfjukus,S117,7,104116,14873,Commander2dpW5QF,99955
68,[ovo] Fatebound,S117,7,103240,14748,Torro75,102482
69,[WZTX] KingThe,S117,5,102147,20429,Commander2fwCf7n,99554
70,[Coe] Albertofg,S117,2,92204,46102,Commander2eF1DaB,91882
71,[TIMI] ASDFG,S117,14,85192,6085,Commander2fpv297,72882
72,[CTA] centinelas,S117,5,83947,16789,Commander2dwky6V,79206
73,[ERT] ERTTT,S117,10,50231,5023,Commander2evQ8SN,41505
74,[7DS] Se7enDeàdlySins,S117,11,47686,4335,commanderveerla,38000
