Rank,Alliance,Server,Members,Total Points,Avg Points/Player,Top Commander,Top Commander Points
1,[DOOM] Armageddon,S119,58,90720694,1564149,AzethothMONKEY,3565442
2,[P1MP] JU1CE,S117,47,87167396,1854625,TheRequiem,16655363
3,[STLG] SteelLegion,S119,41,48080707,1172700,Nika~,2255575
4,[GDI] GolgDiggers,S117,48,41053931,855290,불휘이,2870825
5,[TSR2] TheShardofReality2,S119,38,40918714,1076808,kvadrateg,3388632
6,[Bigg] Бароны,S117,38,40902425,1076379,Fayans,9298947
7,[CHIL] ChillEmpire,S119,47,39462189,839621,AlInA,2111561
8,[OFF] OnlyForFans,S119,40,38114503,952862,Кэтринан,2298446
9,[HDG] HérosdeGuerre,S117,37,32304137,873084,Azethoth,11856271
10,[Sold] Soldiers,S119,27,31331117,1160411,Diana215,6743009
11,[WIn] OnlyWin,S119,42,30114378,717009,promos,2555521
12,[SKG] Horizon,S119,37,29953285,809548,xCollapse,2493995
13,[RTR] RETRO,S119,25,27343314,1093732,Шакалад,2151836
14,[SORI] ВРЕДНЫЕ,S119,22,27069827,1230446,Вредный,2067210
15,[CLAV] ВОЙНЫ,S119,16,17636686,1102292,Аленамама,2884012
16,[P2MP] NowaPolandia,S117,35,15490566,442587,Rzurzu,2121706
17,[AZT] AntiZombieTeam,S117,39,13776506,353243,GunnerGat,1914910
18,[Hhhh] Xpovos,S119,11,12785412,1162310,Никольск,1819527
19,[KRL] кристал,S119,10,12104857,1210485,МальчикАмбальчик,2871030
20,[P1MP] JU1CER,S117,3,9293336,3097778,ViE,5300951
21,[ARF2] БесячаяГвардия,S119,20,8616706,430835,Adyyyyyy,1031593
22,[KRS] KRATOS,S117,21,8582174,408674,KOKRAN,1397860
23,[0G8b] AbyssTerritory,S119,8,7405446,925680,fRame,1926475
24,[BNN] Banana,S119,6,6942553,1157092,Boroda221,2635483
25,[ALIN] RUSalina,S117,13,6754967,519612,2Каратель,1411034
26,[CLAV] ВОЙНЫ-,S119,5,5394317,1078863,Татали,1989235
27,[OUTS] OUTSIDERS,S117,9,4886014,542890,Titania008,1166129
28,[cHIL] ChillEmpire,S119,4,4696769,1174192,Yarosl,1542400
29,[SSSE] Pensioners,S119,14,4284068,306004,Buhgalter,1515138
30,[HLCZ] HellsCrazy,S119,3,3269658,1089886,Nastasia16011988,1672737
