Rank,Server_Rank,Commander,Alliance,Server,Points
1,1,TheRequiem,[P1MP] JU1CE,S117,16655363
2,2,Azethoth,[HDG] HérosdeGuerre,S117,11856271
3,3,Eldagrim,[P1MP] JU1CE,S117,9713823
4,4,Fayans,[Bigg] Бароны,S117,9298947
5,1,Diana215,[Sold] Soldiers,S119,6743009
6,5,chauncey,[P1MP] JU1CE,S117,5891810
7,6,RollingStoners,[P1MP] JU1CE,S117,5812714
8,7,ViE,[P1MP] JU1CE,S117,5300951
9,8,JimmyJam,[P1MP] JU1CE,S117,4358646
10,9,Jeff,[P1MP] JU1CE,S117,4106808
11,10,Tiffanie23,[Bigg] Бароны,S117,3671568
12,2,AzethothMONKEY,[DOOM] Armageddon,S119,3565442
13,3,kvadrateg,[TSR2] TheShardofReality2,S119,3388632
14,11,Chickendog,[P1MP] JU1CE,S117,3362047
15,12,AyeGee,[P1MP] JU1CE,S117,3071648
16,4,Veenkle2,[DOOM] Armageddon,S119,2969723
17,5,Аленамама,[CLAV] ВОЙНЫ,S119,2884012
18,13,alggagi,[P1MP] JU1CE,S117,2880587
19,6,МальчикАмбальчик,[KRL] кристал,S119,2871030
20,14,불휘이,[GDI] GolgDiggers,S117,2870825
21,15,Queencard,[GDI] GolgDiggers,S117,2846159
22,16,BoredAtWork,[P1MP] JU1CE,S117,2760105
23,7,ZhekaSkillDoc,[Sold] Soldiers,S119,2731877
24,17,SkiFcheGG,[GDI] GolgDiggers,S117,2720603
25,18,ArT-G,[GDI] GolgDiggers,S117,2713240
26,8,ALEXBATE,[DOOM] Armageddon,S119,2705895
27,9,Boroda221,[BNN] Banana,S119,2635483
28,10,Напасыч,[DOOM] Armageddon,S119,2611430
29,11,seg15,[DOOM] Armageddon,S119,2558403
30,12,promos,[WIn] OnlyWin,S119,2555521
31,13,Sergant13,[CLAV] ВОЙНЫ,S119,2524145
32,14,xCollapse,[SKG] Horizon,S119,2493995
33,15,Дорожник,[DOOM] Armageddon,S119,2435609
34,16,ФермеР,[TSR2] TheShardofReality2,S119,2398943
35,19,Старичек,[Bigg] Бароны,S117,2382437
36,17,Mortrim,[DOOM] Armageddon,S119,2365430
37,20,Godfather°,[Bigg] Бароны,S117,2360082
38,18,Oliver17,[SKG] Horizon,S119,2330875
39,21,LynxNM,[HDG] HérosdeGuerre,S117,2309836
40,19,Inpush,[DOOM] Armageddon,S119,2303111
41,20,Кэтринан,[OFF] OnlyForFans,S119,2298446
42,21,EdVo,[OFF] OnlyForFans,S119,2277592
43,22,Стич,[Sold] Soldiers,S119,2264573
44,23,Nika~,[STLG] SteelLegion,S119,2255575
45,22,IKARI°P1MP,[P1MP] JU1CE,S117,2248050
46,24,дроновод,[DOOM] Armageddon,S119,2221128
47,25,Warpunish,[SKG] Horizon,S119,2216389
48,26,Гессху,[SKG] Horizon,S119,2191931
49,27,ADEL777,[TSR2] TheShardofReality2,S119,2171073
50,28,ДЕДМАЗАЙ,[DOOM] Armageddon,S119,2169566
51,29,Шакалад,[RTR] RETRO,S119,2151836
